소재지면적,대피가능인원수,소재지전체주소,좌표정보(X),좌표정보(Y),id
5588.57,6774,서울특별시 종로구 홍지동 7번지 1호,195960.546,455612.1227,0
450,545,서울특별시 종로구 신영동 219번지 4호,196483.4331,455658.0533,0
5501,6668,서울특별시 종로구 숭인동 117번지,201444.4699,452367.3653,0
660,800,서울특별시 종로구 행촌동 209번지 15호,196429.6512,452328.4261,0
9473,11482,서울특별시 종로구 숭인동 316번지 3호,201327.3129,452148.8267,0
1838,2228,서울특별시 종로구 평창동 2번지 12호,198181.1955,456591.8286,0
9866,11959,서울특별시 종로구 종로6가 287번지 1호,200764.42,452037.7381,0
1023,1240,서울특별시 종로구 사직동 284번지 1호,196809.4581,452443.3092,0
547,663,서울특별시 종로구 세종로 1번지 68호,197889.898,452238.3237,0
10992,13324,서울특별시 종로구 적선동 81번지 1호,197563.5358,452607.7674,0
5490,6655,서울특별시 종로구 창신동 492번지 1호,200924.8799,452164.2234,0
211,256,서울특별시 종로구 사직동 1번지 38호,197136.3977,452566.4353,0
346.67,420,서울특별시 종로구 명륜4가 188번지 10호,199773.2142,453323.9007,0
4115,4988,서울특별시 종로구 서린동 159번지 1호,197993.004,451917.0625,0
9661,11710,서울특별시 종로구 부암동 272번지 7호,196786.6828,454482.1613,0
1295,1570,서울특별시 종로구 무악동 60번지,196171.3263,452746.033,0
6814.83,8260,서울특별시 종로구 명륜3가 53번지 21호,199231.3456,454019.3609,0
2908.19,3525,서울특별시 종로구 창신동 328번지 18호,201273.8878,452163.2925,0
3486.51,4226,서울특별시 종로구 연건동 28번지 14호,199999.4138,452828.1531,0
1797,2178,서울특별시 종로구 평창동 186번지 9호 평창동 주민센터,197134.4556,456004.4766,0
1164,1411,서울특별시 종로구 창신동 222번지 8호,201209.9446,452357.9594,0
986,1195,서울특별시 종로구 세종로 78번지 1호,197843.3871,452466.0861,0
3960,4800,서울특별시 종로구 종로6가 242번지 1호,200480.1776,452225.923,0
700.32,849,서울특별시 종로구 명륜2가 21번지 1호,199984.3877,453577.7585,0
1938.46,2350,서울특별시 종로구 명륜1가 46번지 7호,199905.3802,453792.5092,0
825.75,1001,서울특별시 종로구 혜화동 5번지 55호,200039.1088,454224.9476,0
747.77,906,서울특별시 종로구 혜화동 90번지 1호,200306.3943,453747.6508,0
200,242,서울특별시 종로구 창신동 13번지 80호,201072.9861,453013.7277,0
438,531,서울특별시 종로구 행촌동 180번지 10호,196568.9766,452181.0804,0
995,1206,서울특별시 종로구 송월동 112번지 27호,196886.5503,451895.3051,0
9875,11970,서울특별시 중구 충무로2가 109번지 2호,198670.0286,450951.5055,0
1412,1712,서울특별시 중구 황학동 370번지 1호,201634.149,451785.8271,0
2021,2450,서울특별시 중구 태평로1가 31번지,198004.7379,451589.339,0
1208,1464,서울특별시 중구 신당동 844번지 5호,201042.3577,449952.5095,0
356,432,서울특별시 중구 남대문로3가 110번지,198162.5954,451097.0829,0
1056,1280,서울특별시 중구 회현동1가 115번지,198302.9219,450437.5956,0
71343,86476,서울특별시 중구 신당동 844번지,200750.4551,449638.8243,0
2851,3456,서울특별시 중구 충무로2가 49번지 11호,199022.8177,451132.8909,0
10408,12616,서울특별시 중구 을지로1가 100번지 1호,198347.5447,451530.7978,0
1970,2388,서울특별시 중구 인현동2가 192번지 30호,199559.8129,451275.2425,0
904,1096,서울특별시 중구 쌍림동 151번지 11호,200247.0981,451193.483,0
8890,10776,서울특별시 중구 장충동2가 199번지 3호,200382.1067,450770.8465,0
4217,5112,서울특별시 중구 장충동2가 186번지 54호,200141.9985,450878.103,0
3894,4720,서울특별시 중구 을지로1가 16번지,198119.6553,451578.1858,0
7187,8712,서울특별시 중구 수표동 47번지 6호,198989.3946,451675.0918,0
47064,57047,서울특별시 중구 신당동 842번지,201230.1673,450277.6002,0
33660,40800,서울특별시 중구 신당동 843번지,201511.5901,450655.0625,0
14430,17491,서울특별시 중구 을지로2가 149번지 10호,198871.1486,451537.6072,0
10785,13073,서울특별시 중구 신당동 369번지 2호,200857.7999,450277.009,0
4150,5030,서울특별시 중구 만리동1가 62번지 7호,197034.0284,450305.6449,0
24454,29641,서울특별시 중구 신당동 844번지,200750.4551,449638.8243,0
884,1072,서울특별시 중구 방산동 4번지 10호,200116.0704,451865.3444,0
448,543,서울특별시 중구 태평로1가 25번지,197964.0955,451694.0357,0
63954,77520,서울특별시 중구 소공동 1번지,198259.6536,451392.1982,0
13993,16961,서울특별시 중구 태평로2가 23번지,197979.0212,451376.7834,0
1911,2316,서울특별시 중구 신당동 849번지,201421.0258,451162.2386,0
19215,23291,서울특별시 중구 흥인동 162번지 1호,201363.7776,451662.5108,0
3059,3708,서울특별시 중구 남대문로4가 13번지 3호,198069.0973,450987.4967,0
5655,6855,서울특별시 중구 남대문로2가 9번지 9호,198354.1219,451309.7363,0
8322,10087,서울특별시 중구 서소문동 90번지 1호,197768.2006,451254.6706,0
10701,12971,서울특별시 중구 필동2가 16번지 2호,199429.3813,450992.4693,0
2487,3015,서울특별시 중구 신당동 198번지 3호,201193.1533,451729.4479,0
2138,2592,서울특별시 중구 신당동 295번지 2호,201155.9576,450896.8386,0
5179,6278,서울특별시 중구 장충동2가 201번지,199977.7599,449777.5158,0
15474,18756,서울특별시 중구 필동2가 16번지 2호,199429.3813,450992.4693,0
1448,1755,서울특별시 중구 예관동 120번지 1호,199732.2487,451272.8063,0
5700,6909,서울특별시 중구 서소문동 41번지 3호,197650.1085,451254.3812,0
6278,7610,서울특별시 중구 신당동 366번지 454호,200554.8154,449547.1037,0
9019,10932,서울특별시 중구 신당동 361번지 4호,200820.0385,450309.1626,0
287,348,서울특별시 중구 충무로1가 52번지 41호,198294.5795,450952.3942,0
25890,31382,서울특별시 중구 신당동 850번지,201653.7555,450769.5763,0
476,577,서울특별시 중구 정동 22번지,197279.3284,451765.4265,0
39896,48359,서울특별시 중구 황학동 2545번지,201823.909,452076.8187,0
4735,5739,서울특별시 중구 충무로5가 21번지,199912.6159,451277.4681,0
5029,6096,서울특별시 중구 남대문로4가 45번지,197620.6489,450919.8743,0
2821,3419,서울특별시 중구 서소문동 120번지 23호,197614.6088,451032.8601,0
8655,10491,서울특별시 중구 태평로2가 250번지,197761.4403,451123.1946,0
495,600,서울특별시 중구 봉래동2가 123번지,197403.5901,450590.9453,0
6154,7459,서울특별시 중구 을지로3가 347번지 3호,199067.076,451547.4503,0
9292,11263,서울특별시 중구 남대문로5가 73번지 6호,197505.7699,450514.7134,0
442,536,서울특별시 중구 남대문로4가 17번지 12호,197831.0325,450960.3812,0
6776,8213,서울특별시 중구 만리동2가 6번지 1호,196823.6458,450368.4684,0
1585,1921,서울특별시 중구 충정로1가 75번지 1호,197143.1041,451569.7614,0
8616,10444,서울특별시 중구 정동 5번지 5호,197893.4583,451480.8335,0
6345,7691,서울특별시 중구 신당동 99번지,201703.2615,451461.3053,0
1815,2200,서울특별시 중구 을지로1가 100번지 1호,198347.5447,451530.7978,0
1287,1560,서울특별시 중구 을지로1가 50번지 1호,198107.5759,451520.6295,0
1128,1367,서울특별시 중구 신당동 369번지 44호,200901.5234,450241.9606,0
7678,9307,서울특별시 중구 충무로1가 52번지 41호,198294.5795,450952.3942,0
1758,2131,서울특별시 중구 남대문로2가 9번지 9호,198354.1219,451309.7363,0
14430,17491,서울특별시 중구 을지로4가 282번지 8호,199624.9648,451582.8407,0
2310,2800,서울특별시 중구 소공동 91번지 1호,198070.6224,451396.4054,0
16529,20035,서울특별시 중구 을지로4가 347번지 3호,199067.076,451547.4503,0
14468,17537,서울특별시 중구 을지로7가 112번지 3호,200686.789,451499.116,0
17916,21716,서울특별시 중구 중림동 441번지,197032.9235,450872.9348,0
2594,3144,서울특별시 중구 신당동 840번지,201852.931,450855.2645,0
1945,2358,서울특별시 중구 신당동 846번지,201457.3293,451124.0735,0
438,531,서울특별시 중구 신당동 844번지,200750.4551,449638.8243,0
4600,5576,서울특별시 중구 을지로5가 35번지 6호,200123.6717,451612.7001,0
8800,10667,서울특별시 중구 충무로3가 49번지,199279.6774,451120.5177,0
1442,1748,서울특별시 중구 회현동1가 5번지,198091.2021,450913.3407,0
10233,12404,서울특별시 중구 남창동 64번지 1호,197955.4281,450731.5667,0
620,752,서울특별시 중구 남창동 51번지 1호,197831.0027,450794.3148,0
18070,21903,서울특별시 중구 봉래동2가 122번지 11호,197230.2061,450446.6844,0
7656,9280,서울특별시 중구 을지로4가 267번지 1호,199624.9648,451582.8407,0
907,1099,서울특별시 중구 을지로6가 18번지 14호,200461.2235,451808.5638,0
1650,2000,서울특별시 중구 남대문로5가 120번지,197761.3527,450694.3175,0
1808,2192,서울특별시 중구 봉래동1가 5번지 41호,197566.0252,450801.9047,0
8045,9752,서울특별시 중구 신당동 160번지 2호,201944.6114,451423.5203,0
6428,7792,서울특별시 용산구 한강로2가 181번지,197138.8236,447436.9537,0
11281,13674,서울특별시 용산구 갈월동 103번지 17호,197512.1458,448691.8598,0
4877,5912,서울특별시 용산구 신창동 102번지,195867.376,448215.5173,0
1832,2221,서울특별시 용산구 이촌동 301번지 170호,198343.5628,446088.4163,0
21054,25520,서울특별시 용산구 한강로1가 228번지 1호,197563.5257,448045.3086,0
8788,10652,서울특별시 용산구 서빙고동 296번지,199220.7977,446735.8727,0
39190,47503,서울특별시 용산구 한강로1가 50번지 1호,197514.1458,448264.3223,0
33429,40520,서울특별시 용산구 산천동 193번지,195563.5351,448084.895,0
9738,11804,서울특별시 용산구 청파동2가 53번지 12호,196831.4618,449320.3704,0
1902.23,2306,서울특별시 용산구 용산동2가 11번지 13호,198647.3296,449298.2804,0
304.53,369,서울특별시 용산구 산천동 81번지 1호,195647.7216,448011.8116,0
183,222,서울특별시 용산구 용문동 90번지,196324.1886,448224.7587,0
1380.14,1673,서울특별시 용산구 후암동 435번지 2호,197940.502,450125.719,0
235.33,285,서울특별시 용산구 후암동 244번지 109호,197999.3901,449602.7148,0
79396,96238,서울특별시 용산구 동자동 45번지,197563.0698,449934.1578,0
1198,1452,서울특별시 용산구 이태원동 108번지 9호,199387.8964,448055.0489,0
8184,9920,서울특별시 용산구 이태원동 22번지 2호,199471.3097,447522.747,0
6435,7800,서울특별시 용산구 도원동 23번지,195981.2034,448450.3074,0
3295,3994,서울특별시 용산구 보광동 238번지 2호,199624.3291,447432.8706,0
1980,2400,서울특별시 용산구 보광동 448번지,200093.9477,447069.047,0
911,1104,서울특별시 용산구 후암동 30번지 90호,198169.0137,449972.9939,0
20839,25259,서울특별시 용산구 문배동 24번지 6호,197205.5336,448204.2993,0
25572,30996,서울특별시 용산구 이태원동 119번지 23호,199457.4302,448033.2196,0
1320,1600,서울특별시 용산구 한남동 36번지 1호,200939.2993,448094.9256,0
573,695,서울특별시 용산구 이촌동 206번지 2호,195925.4348,447111.8401,0
1023,1240,서울특별시 용산구 한남동 736번지 1호,199827.2903,448078.5583,0
28590,34655,서울특별시 용산구 동빙고동 315번지,199515.3131,447063.417,0
16889,20472,서울특별시 용산구 한남동 807번지,200270.3937,447355.5052,0
1310,1588,서울특별시 용산구 서빙고동 181번지 1호,199354.6078,446503.1629,0
2482,3008,서울특별시 용산구 용산동2가 1번지 3호,198747.8339,449370.244,0
17737,21499,서울특별시 용산구 이태원동 34번지 87호,199062.2549,447812.9098,0
483,585,서울특별시 용산구 효창동 255번지 5호,196553.0389,448920.9477,0
9240,11200,서울특별시 용산구 이촌동 400번지,196180.1052,446788.4541,0
5676,6880,서울특별시 용산구 이촌동 395번지,195946.156,446998.8142,0
5178,6276,서울특별시 용산구 이촌동 301번지 160호,198236.2964,446262.5441,0
2357,2857,서울특별시 용산구 효창동 268번지,196126.8556,448722.3352,0
752,912,서울특별시 용산구 서빙고동 134번지,199454.3885,446472.9074,0
17787,21560,서울특별시 용산구 용산동6가 168번지 6호,198359.894,446755.8814,0
